status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
232633627068_10156937461657069,"#內文圖多
什麼髒，我只看見一堆帥氣的背影。 (#在那編)
　
#蘋果生活
🍎加入《蘋果》LINE，隨時掌握天下事 👉 https://goo.gl/pQ9xTe",女大生辱「男友沒像工人髒」　一堆神照驕傲路過！,link,https://tw.news.appledaily.com/life/realtime/20180322/1320112/,2018-03-23 00:00:00,15310,703,351,14722,228,197,90,12,61,0
232633627068_10156937108657069,"變成人妻還是一樣正💕
　
賴琳恩 Lene Lai",賴琳恩放送C奶招財　性感出汁,link,https://tw.entertainment.appledaily.com/realtime/20180322/1319953/,2018-03-22 23:50:01,594,15,0,578,9,6,0,0,1,0
232633627068_10156937148757069,"蜜餞跟番茄真的絕配阿(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧
　
#蜜餞夾番茄 #爆系廚藝訓練學院
🍎FB滑膩了？我們也有IG喔(≖‿ゝ≖)✧ 👉 https://goo.gl/HxyZnq",​蜜餞夾番茄「氣勢萬千版」網讚：3種願望1次滿足,link,https://tw.news.appledaily.com/life/realtime/20180322/1320029/,2018-03-22 23:40:00,490,18,9,461,8,2,19,0,0,0
232633627068_10156937125812069,"都被逮了還想逞英雄╮(╯_╰)╭
　
#毒販",【有片】已婚男約她進摩鐵　因這檔事警持槍攻堅,link,https://tw.news.appledaily.com/local/realtime/20180322/1319828/,2018-03-22 23:30:00,1417,0,5,1353,6,36,19,2,1,0
232633627068_10156937581672069,"言論也該有個限度，講這種話也太過分了吧！
　
#蘋果社會 周芷萱",PO文遭辱「怎不當妓女」　覺青女神怒提告,link,https://tw.news.appledaily.com/local/realtime/20180322/1319844,2018-03-22 23:20:00,381,18,4,318,1,8,28,1,25,0
232633627068_10156937952922069,"我也差點分不出來誰是誰了...(≖‿ゝ≖)  #在那編
　
#蘋果娛樂 #木瓜霞8點檔 #吳淡如 吳淡如
🍎加入《蘋果》LINE，精采好聞不錯過 👉 https://goo.gl/pQ9xTe",【木瓜霞8點檔】吳淡如撞臉3女星　網友儍儍分不清楚,link,https://tw.entertainment.appledaily.com/realtime/20180322/1320192/,2018-03-22 23:10:14,158,6,3,142,0,1,13,1,1,0
232633627068_10156937911692069,"前幾天才有金胸墊母女，今天又有兩男走私黃金到日本！！
　
#蘋果國際 #日本 #走私",2台男鞋墊、短褲藏8公斤黃金　走私日本被抓包,link,https://tw.news.appledaily.com/international/realtime/20180322/1320358/,2018-03-22 23:00:29,800,42,14,634,0,56,89,1,20,0
232633627068_10156937321037069,"這不會演到精神分裂嗎😂😂
　
#蘋果影創 Patrick 派翠克",影像創意中心,video,https://www.facebook.com/AppleNews.iPlay/videos/422893134835413/,2018-03-22 22:50:00,95,4,9,81,1,0,13,0,0,0
232633627068_10156937893337069,"恭喜在中和買威力彩的得主！
　
【3月22日台灣彩券開獎號碼】
https://tw.news.appledaily.com/life/realtime/20180322/1320297/
#威力彩 #台彩",今晚威力彩頭獎開出　頭獎2億元獎落新北中和,link,https://tw.news.appledaily.com/life/realtime/20180322/1320354/,2018-03-22 22:46:03,754,47,13,687,1,41,16,5,4,0
232633627068_10156937637787069,"現在這種環境，要加薪真的很不容易啊！
　
黃大米 #加薪",職場加薪術！達人用「這兩招」贏得老闆錢包,link,https://tw.news.appledaily.com/life/realtime/20180322/1319926/,2018-03-22 22:40:00,112,2,4,107,2,0,3,0,0,0
232633627068_10156937861467069,"#蘋果最新 雲嘉南的大家有感受到嗎？
　
#地震",22:27嘉義梅山規模4.6地震　最大震度5級,link,https://tw.news.appledaily.com/life/realtime/20180322/1320353/,2018-03-22 22:37:00,3726,126,114,3075,2,558,7,84,0,0
232633627068_10156937572247069,"醫護人員救人無數，卻救不了自己......
　
【忙到沒空陪小孩　外科醫自認是「不及格的父親」】
https://tw.news.appledaily.com/life/realtime/20180322/1320197/
　
【「當醫生豬狗不如！」台大名醫：兒從醫就打斷腿】
https://tw.news.appledaily.com/life/realtime/20180322/1319668
　
民間司法改革基金會 #黃慧夫",醫療糾紛被判有罪　名醫嘆：只有台灣用《刑法》對付醫療人員,link,https://tw.news.appledaily.com/politics/realtime/20180322/1319779/,2018-03-22 22:30:00,300,24,10,195,2,6,2,55,40,0
232633627068_10156937828877069,"不禁令人想到朴槿惠.........
　
#蘋果國際 #南韓 #李明博",南韓法院批准逮捕令　拘捕前總統李明博,link,https://tw.news.appledaily.com/international/realtime/20180322/1320344/,2018-03-22 22:26:33,379,18,16,315,4,29,30,1,0,0
